Name,Party,State,Vote_caste,lis_member_id
Tammy Baldwin,D,WI,Yea,S354
John Barrasso,R,WY,Yea,S317
Michael Bennet,D,CO,Yea,S330
Marsha Blackburn,R,TN,Nay,S396
Richard Blumenthal,D,CT,Yea,S341
Roy Blunt,R,MO,Yea,S342
Cory Booker,D,NJ,Yea,S370
John Boozman,R,AR,Yea,S343
Mike Braun,R,IN,Nay,S397
Sherrod  Brown,D,OH,Yea,S307
Richard Burr,R,NC,Yea,S300
Maria Cantwell,D,WA,Yea,S275
Shelley Capito,R,WV,Yea,S372
Ben Cardin,D,MD,Not Voting,S308
Thomas Carper,D,DE,Yea,S277
Bob Casey,D,PA,Yea,S309
Bill Cassidy,R,LA,Yea,S373
Susan Collins,R,ME,Yea,S252
Christopher Coons,D,DE,Yea,S337
John Cornyn,R,TX,Yea,S287
Catherine Cortez Masto,D,NV,Yea,S385
Tom Cotton,R,AR,Nay,S374
Kevin Cramer,R,ND,Not Voting,S398
Mike Crapo,R,ID,Nay,S266
Ted Cruz,R,TX,Nay,S355
Steve Daines,R,MT,Yea,S375
Tammy Duckworth,D,IL,Yea,S386
Richard Durbin,D,IL,Yea,S253
Joni Ernst,R,IA,Yea,S376
Dianne Feinstein,D,CA,Yea,S221
Deb Fischer,R,NE,Yea,S357
Kirsten Gillibrand,D,NY,Yea,S331
Lindsey Graham,R,SC,Yea,S293
Charles Grassley,R,IA,Yea,S153
Bill Hagerty,R,TN,Yea,S407
Maggie Hassan,D,NH,Yea,S388
Josh Hawley,R,MO,Nay,S399
Martin Heinrich,D,NM,Yea,S359
John Hickenlooper,D,CO,Yea,S408
Mazie Hirono,D,HI,Yea,S361
John Hoeven,R,ND,Yea,S344
Cindy Hyde-Smith,R,MS,Yea,S395
Jim Inhofe,R,OK,Yea,S236
Ron Johnson,R,WI,Yea,S345
Timothy Kaine,D,VA,Yea,S362
Mark Kelly,D,AZ,Yea,S406
John Kennedy,R,LA,Nay,S389
Angus King,I,ME,Yea,S363
Amy Klobuchar,D,MN,Yea,S311
James Lankford,R,OK,Yea,S378
Patrick Leahy,D,VT,Yea,S057
Mike Lee,R,UT,Nay,S346
Ben Lujan,D,NM,Yea,S409
Cynthia Lummis,R,WY,Yea,S410
Joseph Manchin,D,WV,Yea,S338
Edward Markey,D,MA,Yea,S369
Roger Marshall,R,KS,Yea,S411
Mitch McConnell,R,KY,Yea,S174
Robert Menendez,D,NJ,Yea,S306
Jeff Merkley,D,OR,Yea,S322
Jerry Moran,R,KS,Yea,S347
Lisa Murkowski,R,AK,Yea,S288
Christopher Murphy,D,CT,Yea,S364
Patty Murray,D,WA,Not Voting,S229
Jon Ossoff,D,GA,Yea,S414
Alex Padilla,D,CA,Yea,S413
Rand Paul,R,KY,Not Voting,S348
Gary Peters,D,MI,Yea,S380
Rob Portman,R,OH,Yea,S349
John Reed,D,RI,Yea,S259
James  Risch,R,ID,Nay,S323
Mitt Romney,R,UT,Yea,S401
Jacklyn Rosen,D,NV,Yea,S402
Mike Rounds,R,SD,Not Voting,S381
Marco Rubio,R,FL,Yea,S350
Bernard Sanders,I,VT,Yea,S313
Ben Sasse,R,NE,Yea,S382
Brian Schatz,D,HI,Yea,S353
Charles Schumer,D,NY,Yea,S270
Rick Scott,R,FL,Nay,S404
Tim Scott,R,SC,Nay,S365
Jeanne Shaheen,D,NH,Yea,S324
Richard Shelby,R,AL,Yea,S184
Kyrsten Sinema,D,AZ,Yea,S403
Tina Smith,D,MN,Yea,S394
Debbie Stabenow,D,MI,Yea,S284
Dan Sullivan,R,AK,Nay,S383
Jon Tester,D,MT,Yea,S314
John Thune,R,SD,Yea,S303
Thomas Tillis,R,NC,Yea,S384
Patrick Toomey,R,PA,Yea,S351
Tommy Tuberville,R,AL,Nay,S412
Chris Van Hollen,D,MD,Yea,S390
Mark Warner,D,VA,Yea,S327
Raphael Warnock,D,GA,Yea,S415
Elizabeth Warren,D,MA,Yea,S366
Sheldon Whitehouse,D,RI,Yea,S316
Roger Wicker,R,MS,Yea,S318
Ron Wyden,D,OR,Yea,S247
Todd Young,R,IN,Yea,S391
