user_id,book_id
76,4250
116,474
124,682
137,362
94,10
29,4359
167,462
167,76
137,1272
207,25
194,301
137,8859
116,3106
116,5269
116,4684
242,28
162,2938
162,4253
162,5905
162,200
162,13
320,2674
332,8175
332,2798
332,522
270,4120
364,2440
142,474
332,5437
301,1381
222,881
222,1014
395,2063
401,13
463,173
399,3792
475,2846
506,5540
506,839
506,54
533,268
533,1055
530,9240
143,7
542,937
550,682
504,219
543,1214
200,212
564,8470
564,55
564,937
564,8508
580,1449
580,427
580,4722
590,25
590,43
590,952
615,961
656,25
448,1272
448,961
448,10
554,55
212,62
688,2309
446,270
744,881
751,5216
756,1878
793,1272
811,4983
811,173
841,9178
870,4768
870,3489
870,55
751,9438
589,2440
900,2732
871,1584
900,3464
961,60
448,63
448,95
779,25
801,1055
989,1892
991,54
997,5216
532,322
1007,901
1007,13
1033,3792
253,1421
1038,1928
954,766
957,1214
991,984
991,1381
991,1970
875,1713
1074,547
1074,1204
1074,186
1007,155
1007,646
1061,2499
1007,171
1111,10
1111,493
791,184
7,10
1104,1537
1168,83
1007,289
1162,984
1211,2938
1019,43
869,937
1276,27
1253,2860
1135,6999
1346,1378
1346,1005
257,1214
746,62
746,368
1254,1393
875,9188
638,1378
1434,1106
1449,5926
804,229
1474,417
1526,937
1476,5556
1476,1928
1509,13
1584,1005
1590,2029
1582,1378
1582,282
1582,10
1582,55
1147,25
126,2309
1537,2440
1537,301
1537,959
1489,5378
989,1458
756,1381
1695,268
1526,855
1526,2186
1526,270
1722,3028
1722,474
1178,167
1727,682
1743,55
1734,2309
1550,268
1450,25
1450,27
1582,377
428,6587
1774,71
1649,7969
774,7137
774,3346
774,60
774,171
1778,5097
1657,3002
875,2938
1723,9308
1508,1783
1508,1073
1835,6828
1835,6816
1835,377
1350,474
1835,5905
1847,71
1392,377
1873,10
1180,1924
1180,2658
1889,7
1889,1055
1889,2440
1726,5756
1890,60
808,522
1112,3566
868,4898
868,9888
1577,9188
1926,1114
1926,7997
706,1005
1509,55
1926,212
1942,480
1913,13
1549,3106
1549,212
1915,6480
1965,1928
1965,9579
1926,1970
1926,25
1926,14
1926,13
1915,1272
1953,2
1953,186
1926,682
751,270
1740,1286
1953,417
718,13
718,54
1504,4079
2036,60
594,1294
594,28
1230,55
1913,55
2125,493
1283,961
1726,1486
318,1367
318,270
318,682
318,62
706,6559
1672,6509
1734,474
2180,2440
1942,322
2080,43
2080,186
2080,108
2080,289
2080,1741
2080,5216
2080,7311
2080,5425
2080,1555
871,9283
2283,55
2270,1584
2130,4828
2130,1940
2130,8692
2130,212
2130,1019
2130,503
1462,8175
1462,1055
1860,212
2291,1055
3,3566
1927,83
1927,478
1927,298
1927,43
176,19
1953,7491
2080,1314
2080,4268
2254,672
2254,361
1537,9766
1357,1155
2186,2584
2397,13
215,1294
360,212
360,2013
2422,700
2370,1970
2370,6180
755,1084
2438,55
1942,1957
2375,5378
1474,1106
2397,8508
2466,28
2466,361
2424,522
1060,9323
1060,2809
1060,2440
1060,4605
1060,1055
2477,368
1847,362
2502,1214
2502,219
1497,62
1713,1055
1608,1055
2361,5474
2569,1055
2589,289
2476,219
2598,646
2591,6256
968,167
590,212
2591,5777
2591,7
2591,522
2615,3656
2622,14
1124,682
2615,10
26,3412
2337,161
2337,230
2593,25
2322,219
2662,362
2662,1106
2662,3061
2662,493
2292,347
2292,641
2292,292
2292,602
